"id","Specimen","NFlag","Egg10","Ovip","OvipS","MyrmicaYN","Noperaiepittfall","NoperaiepittfallS","Horigano","HoriganoS","HGrass","HGrassS","Origanupatchdiameter","OriganupatchdiameterS","BV","BVR","BR","BF","NB","scabrinodis","scabrinodisS","sabuleti","sabuletiS","schencki","schenckiS","sulcinodis","sulcinodisS","rugulosa","rugulosaS"
97,12,103,0,0,-0.82,1,1,-0.47,40,-0.5,10,-0.56,40,-0.68,1,0,0,0,0,0,-0.45,0,-0.3,1,0.56,0,-0.17,0,-0.11
98,12,109,0,0,-0.82,1,1,-0.47,55,0.41,15,0.12,60,-0.3,1,0,1,1,0,0,-0.45,0,-0.3,1,0.56,0,-0.17,0,-0.11
99,12,110,0,0,-0.82,1,1,-0.47,30,-1.1,20,0.8,40,-0.68,1,0,0,0,1,0,-0.45,0,-0.3,1,0.56,0,-0.17,0,-0.11
100,12,113,0,0,-0.82,1,13,0.31,45,-0.2,13,-0.15,170,1.8,1,0,0,0,0,5,-0.13,8,3.64,0,-0.31,0,-0.17,0,-0.11
101,12,115,0,0,-0.82,1,2,-0.41,30,-1.1,10,-0.56,75,-0.01,1,0,0,0,1,0,-0.45,0,-0.3,2,1.43,0,-0.17,0,-0.11
102,12,116,0,0,-0.82,1,2,-0.41,40,-0.5,18,0.53,15,-1.16,1,0,0,0,0,2,-0.32,0,-0.3,0,-0.31,0,-0.17,0,-0.11
103,13,126,0,0,-0.82,1,50,2.72,27.5,-1.25,12,-0.28,80,0.08,0,0,0,0,1,50,2.78,0,-0.3,0,-0.31,0,-0.17,0,-0.11
104,13,127,0,0,-0.82,1,2,-0.41,75,1.61,10,-0.56,100,0.47,1,1,1,1,1,0,-0.45,0,-0.3,2,1.43,0,-0.17,0,-0.11
105,13,128,0,0,-0.82,1,10,0.11,35,-0.8,8,-0.83,50,-0.49,1,1,0,0,1,10,0.2,0,-0.3,0,-0.31,0,-0.17,0,-0.11
106,14,128,0,0,-0.82,1,10,0.11,35,-0.8,8,-0.83,50,-0.49,1,1,0,0,1,10,0.2,0,-0.3,0,-0.31,0,-0.17,0,-0.11
